category,primary_skills,years_experience,experience_level,role,experience_score,layoff_risk,ai_impact_score,automation_risk,market_demand,skill_adaptability
web development,"React, JavaScript, Vue.js",12.7,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"Angular, JavaScript, React",6.8,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"ETL, Data Warehousing, Python",5.7,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
mobile development,"Flutter, Swift, Kotlin",8.4,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"React, HTML/CSS, JavaScript",8.9,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
ai/ml engineering,"Computer Vision, Data Science, PyTorch",6.6,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"SQL, ETL, Data Warehousing",8.6,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"SQL, ETL, BigQuery",1.2,junior,Data Analyst,1,35,0.6,0.65,0.8,0.75
web development,"JavaScript, React, Angular",6.3,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"ETL, Spark, Data Warehousing",9.8,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"HTML/CSS, Angular, React",5.8,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
ai/ml engineering,"TensorFlow, Python, Data Science",12.4,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"TensorFlow, Computer Vision, NLP",1.8,junior,ML Engineer,1,30,0.2,0.25,0.9,0.75
ai/ml engineering,"PyTorch, NLP, Data Science",4.4,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
web development,"Angular, JavaScript, HTML/CSS",3.5,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
web development,"Node.js, React, JavaScript",12.6,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"React, JavaScript, HTML/CSS",0.7,junior,Frontend Developer,1,55,0.7,0.75,0.65,0.7
web development,"Angular, Node.js, JavaScript",4.2,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
web development,"Node.js, React, Angular",5.9,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
ai/ml engineering,"Computer Vision, TensorFlow, Data Science",8.3,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"Python, Spark, ETL",7.6,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
mobile development,"Flutter, iOS, Android",5.2,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"HTML/CSS, JavaScript, Angular",9.7,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
mobile development,"Android, iOS, Flutter",5.6,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"Python, Spark, SQL",5.9,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
mobile development,"React Native, Swift, Flutter",10.3,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"HTML/CSS, Node.js, JavaScript",12.2,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"HTML/CSS, Vue.js, React",6.5,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
mobile development,"Swift, Kotlin, Flutter",4.2,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"Data Warehousing, SQL, ETL",5.9,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Angular, Vue.js, Node.js",4.9,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
web development,"Node.js, Angular, React",5.2,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
mobile development,"Kotlin, iOS, Android",7.8,senior,App Developer,3,45,0.5,0.5,0.7,0.65
ai/ml engineering,"Computer Vision, NLP, Python",10.9,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"ETL, BigQuery, Spark",3.6,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Computer Vision, NLP, TensorFlow",11.3,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"Data Warehousing, BigQuery, SQL",4.2,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"TensorFlow, NLP, Computer Vision",1.5,junior,ML Engineer,1,30,0.2,0.25,0.9,0.75
data engineering,"BigQuery, Spark, Python",4.4,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Data Science, NLP, Python",3.5,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
ai/ml engineering,"Data Science, NLP, PyTorch",11.5,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"ETL, SQL, Data Warehousing",5,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
web development,"Vue.js, JavaScript, React",1.1,junior,Frontend Developer,1,55,0.7,0.75,0.65,0.7
data engineering,"Spark, SQL, Data Warehousing",6.1,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Angular, React, Node.js",11.3,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"HTML/CSS, Angular, Node.js",2.8,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
data engineering,"ETL, SQL, Data Warehousing",4.9,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Computer Vision, NLP, Data Science",5.1,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
data engineering,"SQL, BigQuery, Spark",4,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"TensorFlow, NLP, Data Science",8.4,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
web development,"Vue.js, React, JavaScript",3.4,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
ai/ml engineering,"Python, NLP, PyTorch",3.7,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
mobile development,"Flutter, Android, Swift",4.1,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"SQL, Python, BigQuery",9.5,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Vue.js, Angular, HTML/CSS",5.9,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"Angular, JavaScript, Vue.js",5.5,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"JavaScript, Vue.js, Node.js",11.3,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
ai/ml engineering,"Python, Data Science, TensorFlow",5.4,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"iOS, Kotlin, Android",5.4,senior,App Developer,3,45,0.5,0.5,0.7,0.65
mobile development,"Swift, Flutter, iOS",7.3,senior,App Developer,3,45,0.5,0.5,0.7,0.65
ai/ml engineering,"TensorFlow, NLP, Computer Vision",5.7,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"iOS, Swift, Kotlin",6.6,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"JavaScript, React, Node.js",2.2,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
ai/ml engineering,"NLP, TensorFlow, Python",2.5,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
web development,"HTML/CSS, Vue.js, Angular",1.2,junior,Frontend Developer,1,55,0.7,0.75,0.65,0.7
web development,"HTML/CSS, JavaScript, React",9.3,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"ETL, Data Warehousing, SQL",10.2,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"ETL, Spark, Python",6.3,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
mobile development,"iOS, Flutter, React Native",1.7,junior,App Developer,1,45,0.5,0.5,0.7,0.65
web development,"Vue.js, JavaScript, Angular",5.8,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"SQL, Data Warehousing, ETL",5,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
mobile development,"iOS, Android, Flutter",1.6,junior,App Developer,1,45,0.5,0.5,0.7,0.65
mobile development,"Kotlin, iOS, React Native",1.4,junior,App Developer,1,45,0.5,0.5,0.7,0.65
ai/ml engineering,"Computer Vision, Python, TensorFlow",6.3,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
web development,"HTML/CSS, Angular, Node.js",7.2,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"Node.js, JavaScript, React",2,junior,Full Stack Developer,1,40,0.4,0.45,0.8,0.9
mobile development,"React Native, Android, Swift",3.6,mid,App Developer,2,45,0.5,0.5,0.7,0.65
ai/ml engineering,"PyTorch, TensorFlow, NLP",4.6,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
mobile development,"React Native, Android, Kotlin",3.9,mid,App Developer,2,45,0.5,0.5,0.7,0.65
data engineering,"Data Warehousing, BigQuery, SQL",4.5,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
data engineering,"Python, SQL, BigQuery",4.3,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"NLP, Computer Vision, TensorFlow",11.5,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"Swift, Kotlin, Android",4.5,mid,App Developer,2,45,0.5,0.5,0.7,0.65
web development,"Vue.js, React, Node.js",3.2,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
web development,"JavaScript, Angular, Node.js",5.1,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"Vue.js, JavaScript, React",6,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"Vue.js, React, Node.js",4.8,mid,Full Stack Developer,2,40,0.4,0.45,0.8,0.9
data engineering,"ETL, BigQuery, Data Warehousing",6.4,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
web development,"Vue.js, JavaScript, Angular",6.5,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
web development,"React, Node.js, Vue.js",7.1,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
web development,"React, Node.js, HTML/CSS",7.8,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
mobile development,"iOS, Flutter, React Native",7.7,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"Angular, HTML/CSS, Vue.js",7.2,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
mobile development,"Swift, Android, Kotlin",9.4,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"JavaScript, HTML/CSS, Vue.js",3.2,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
web development,"JavaScript, React, Vue.js",6.2,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
data engineering,"Data Warehousing, ETL, BigQuery",5.8,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"Spark, SQL, Data Warehousing",6.6,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
ai/ml engineering,"Python, PyTorch, Computer Vision",7.1,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"TensorFlow, Data Science, PyTorch",10.8,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
mobile development,"iOS, Flutter, Kotlin",9.5,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"Spark, Data Warehousing, BigQuery",7.1,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
devops,"CI/CD, Azure, AWS",5.5,senior,Cloud Engineer,3,25,0.2,0.2,0.9,0.85
ai/ml engineering,"TensorFlow, Python, PyTorch",1.1,junior,ML Engineer,1,30,0.2,0.25,0.9,0.75
web development,"Vue.js, Angular, React",6.6,senior,Frontend Developer,3,55,0.7,0.75,0.65,0.7
mobile development,"React Native, Android, Flutter",1.8,junior,App Developer,1,45,0.5,0.5,0.7,0.65
web development,"HTML/CSS, Node.js, JavaScript",5.9,senior,Full Stack Developer,3,40,0.4,0.45,0.8,0.9
mobile development,"Flutter, Kotlin, iOS",6,senior,App Developer,3,45,0.5,0.5,0.7,0.65
web development,"Vue.js, HTML/CSS, React",1.7,junior,Frontend Developer,1,55,0.7,0.75,0.65,0.7
mobile development,"iOS, Kotlin, Swift",10.6,senior,App Developer,3,45,0.5,0.5,0.7,0.65
data engineering,"ETL, SQL, Python",5.3,senior,Data Analyst,3,35,0.6,0.65,0.8,0.75
data engineering,"Data Warehousing, Spark, ETL",1.5,junior,Data Analyst,1,35,0.6,0.65,0.8,0.75
web development,"React, JavaScript, Angular",5,mid,Frontend Developer,2,55,0.7,0.75,0.65,0.7
mobile development,"Flutter, Kotlin, Android",4.4,mid,App Developer,2,45,0.5,0.5,0.7,0.65
ai/ml engineering,"Python, Computer Vision, TensorFlow",2.5,mid,ML Engineer,2,30,0.2,0.25,0.9,0.75
data engineering,"SQL, ETL, Python",3.3,mid,Data Analyst,2,35,0.6,0.65,0.8,0.75
ai/ml engineering,"TensorFlow, Data Science, Computer Vision",8.2,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
ai/ml engineering,"Python, NLP, PyTorch",7.4,senior,ML Engineer,3,30,0.2,0.25,0.9,0.75
cybersecurity,"Security Audit, Cryptography, Network Security",4.8,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Network Security, Security Audit",9,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Network Security, Penetration Testing",5.3,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Network Security, Cryptography",4.7,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Cryptography",5.5,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Security Audit",11.9,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Security Audit, Cryptography",8.7,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Cryptography, Penetration Testing",6.1,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Cryptography",7.9,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Network Security, Security Audit",6.3,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Security Audit, Network Security",10,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Security Audit, Penetration Testing",7,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Cryptography",6.2,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Cryptography, Network Security",5.8,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Cryptography, Penetration Testing",2.1,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Security Audit, Cryptography",2.1,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Network Security, Security Audit",2.7,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Cryptography, Network Security",4.3,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Penetration Testing, Cryptography",5.6,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Security Audit, Network Security",5.1,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Security Audit, Cryptography",7,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Security Audit",10.6,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Network Security, Security Audit",3.9,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Cryptography, Network Security",2,junior,Cybersecurity Engineer,1,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Network Security, Penetration Testing",3.4,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.4,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Cryptography, Security Audit",3.7,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Cryptography",4.8,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Cryptography, Penetration Testing",12.2,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Network Security, Security Audit",7.7,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Network Security, Security Audit",9,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Cryptography, Penetration Testing",5.4,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Network Security, Cryptography",6.1,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.8,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Network Security",10,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Security Audit",6.5,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Cryptography, Penetration Testing",3.8,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Cryptography",5.6,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Security Audit",5,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.4,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Security Audit",0.9,junior,Cybersecurity Engineer,1,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Security Audit, Cryptography",1.2,junior,Cybersecurity Engineer,1,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Penetration Testing, Security Audit",2.3,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Penetration Testing, Network Security",10.7,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Network Security, Penetration Testing, Security Audit",5.9,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Network Security, Security Audit",3.8,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Cryptography, Penetration Testing",5,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
cybersecurity,"Cryptography, Security Audit, Penetration Testing",7.3,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Penetration Testing, Security Audit, Cryptography",6.2,senior,Cybersecurity Engineer,3,15,0.1,0.1,0.95,0.7
cybersecurity,"Security Audit, Cryptography, Penetration Testing",3.9,mid,Cybersecurity Engineer,2,15,0.1,0.1,0.95,0.7
devops,"Terraform, Azure, CI/CD",1.2,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"AWS, Azure, Kubernetes",5.5,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, AWS, Azure",3.2,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"Terraform, Azure, AWS",8.9,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Azure, Docker, Terraform",9.3,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Docker, Terraform, AWS",1.5,junior,DevOps Engineer,1,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Azure, AWS",2.4,mid,DevOps Engineer,2,20,0.2,0.2,0.85,0.85
devops,"AWS, Terraform, Kubernetes",6.9,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Kubernetes, Terraform, AWS",7.1,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"Azure, Kubernetes, CI/CD",12.4,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
devops,"CI/CD, Terraform, Azure",8.8,senior,DevOps Engineer,3,20,0.2,0.2,0.85,0.85
